File Name: 	eil51.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
0	 0 	 20 	 2000 	 76.0 	 658.4202501642002 	 1.509909366140202
0	 1 	 20 	 2000 	 77.0 	 558.1414540048153 	 1.2799469773640983
0	 2 	 20 	 2000 	 73.0 	 486.6611076576014 	 1.1160260705911247
1	 0 	 20 	 2000 	 108.0 	 484.60208297752206 	 1.1113042524988193
1	 1 	 20 	 2000 	 113.0 	 481.87279176672143 	 1.1050453587890885
1	 2 	 20 	 2000 	 133.0 	 457.36043507305556 	 1.0488328760340313
2	 0 	 20 	 2000 	 176.0 	 453.93470915125306 	 1.040976897039052
2	 1 	 20 	 2000 	 187.0 	 453.93470915125306 	 1.040976897039052
2	 2 	 20 	 2000 	 182.0 	 453.93470915125306 	 1.040976897039052
3	 0 	 20 	 2000 	 119.0 	 453.93470915125306 	 1.040976897039052
3	 1 	 20 	 2000 	 120.0 	 453.93470915125306 	 1.040976897039052
3	 2 	 20 	 2000 	 130.0 	 453.93470915125306 	 1.040976897039052
0	 0 	 20 	 5000 	 180.0 	 613.9630617392556 	 1.4079587879519657
0	 1 	 20 	 5000 	 179.0 	 613.9630617392556 	 1.4079587879519657
0	 2 	 20 	 5000 	 152.0 	 463.9470400065696 	 1.0639374790253546
1	 0 	 20 	 5000 	 302.0 	 463.9470400065696 	 1.0639374790253546
1	 1 	 20 	 5000 	 331.0 	 448.61861741285054 	 1.0287858735930497
1	 2 	 20 	 5000 	 333.0 	 446.9812951868221 	 1.025031116408936
2	 0 	 20 	 5000 	 457.0 	 446.9812951868221 	 1.025031116408936
2	 1 	 20 	 5000 	 381.0 	 441.5602060225325 	 1.0125993096687869
2	 2 	 20 	 5000 	 455.0 	 441.5602060225325 	 1.0125993096687869
3	 0 	 20 	 5000 	 273.0 	 441.5602060225325 	 1.0125993096687869
3	 1 	 20 	 5000 	 329.0 	 441.5602060225325 	 1.0125993096687869
3	 2 	 20 	 5000 	 319.0 	 441.5602060225325 	 1.0125993096687869
0	 0 	 20 	 10000 	 364.0 	 563.104806516528 	 1.2913290884747781
0	 1 	 20 	 10000 	 363.0 	 548.9244403761561 	 1.2588102410588529
0	 2 	 20 	 10000 	 301.0 	 470.2444057450024 	 1.0783787898873745
1	 0 	 20 	 10000 	 670.0 	 470.2444057450024 	 1.0783787898873745
1	 1 	 20 	 10000 	 666.0 	 464.5411448672393 	 1.0652998983819448
1	 2 	 20 	 10000 	 558.0 	 455.0572042463986 	 1.0435510369704775
2	 0 	 20 	 10000 	 842.0 	 455.0572042463986 	 1.0435510369704775
2	 1 	 20 	 10000 	 801.0 	 453.09179769540174 	 1.0390439068223942
2	 2 	 20 	 10000 	 763.0 	 453.09179769540174 	 1.0390439068223942
3	 0 	 20 	 10000 	 557.0 	 453.09179769540174 	 1.0390439068223942
3	 1 	 20 	 10000 	 608.0 	 453.09179769540174 	 1.0390439068223942
3	 2 	 20 	 10000 	 641.0 	 453.09179769540174 	 1.0390439068223942
0	 0 	 20 	 20000 	 718.0 	 545.1505307921406 	 1.2501557966877233
0	 1 	 20 	 20000 	 724.0 	 512.1818488963395 	 1.1745510114895878
0	 2 	 20 	 20000 	 662.0 	 469.0100084704506 	 1.0755480324707871
1	 0 	 20 	 20000 	 1191.0 	 469.0100084704506 	 1.0755480324707871
